"","ang_out_logm","ang_out_logse","ang_out_mean","ang_out_lb","ang_out_ub","ang_in_logm","ang_in_logse","ang_in_mean","ang_in_lb","ang_in_ub","anf_out_logm","anf_out_logse","anf_out_mean","anf_out_lb","anf_out_ub","anf_in_logm","anf_in_logse","anf_in_mean","anf_in_lb","anf_in_ub","tot_out_logm","tot_out_logse","tot_out_mean","tot_out_lb","tot_out_ub","tot_in_logm","tot_in_logse","tot_in_mean","tot_in_lb","tot_in_ub"
"1",-2.35013003710102,0.344600173369319,0.0953567614924627,0.0485312976445244,0.187361813997494,-2.28515278439547,0.296313609329171,0.101758513805529,0.056930306132704,0.181885463741811,-0.958046231944294,0.172242143563054,0.383641701131855,0.273722397679991,0.537701540300743,-0.681660607887427,0.166766793179378,0.505776398333872,0.364757137884561,0.701315309674743,-0.302082977224557,0.152115595752121,0.73927671921408,0.548685673640179,0.996071327953683,-0.263568487950247,0.149144572619042,0.768305001002599,0.573560502927298,1.0291722870611
"2",-2.15291012797232,0.340436148751204,0.116145666732638,0.0595961097599833,0.22635396765154,-2.22774979774782,0.291820273894846,0.107770663286039,0.060827241791139,0.190942668500297,-0.150349201944972,0.154469312173643,0.860407467997754,0.635648809924911,1.16463839690624,-0.023306371264269,0.156330587108741,0.976963124490483,0.719129143467281,1.32723997530165,0.264928364323805,0.143113917060557,1.30333760696335,0.984545748600265,1.72535295606121,0.258724243814279,0.141714098018983,1.29527657504836,0.981144640584682,1.70998376434001
"3",-2.2937813654283,0.342243255360385,0.100884259434907,0.0515822248271942,0.197308934149812,-2.31687246887498,0.292512076111818,0.0985814204326877,0.0555653130702274,0.174898617816545,0.163630130232738,0.151344680679813,1.17777860982028,0.875460326177596,1.58449493628887,-0.042038484243178,0.156337080990629,0.958832879904725,0.70577473616906,1.30262595764857,0.472345756747265,0.141399202058389,1.60375179587954,1.21555810950757,2.11591679794626,0.229321946180753,0.141765614497162,1.25774690064553,0.952620511967636,1.66060592461522
"4",-2.15951377020048,0.339950835569158,0.115381209183303,0.0592601972721685,0.224650339442147,-2.2095025487068,0.290238912585864,0.109755232820372,0.0621396618128032,0.193857043634119,0.205692035108496,0.150933274597982,1.22837484941111,0.913805817954139,1.65123130212058,0.051785168268755,0.155627771696279,1.05314946828526,0.776277465358563,1.42877238106767,0.530799384073786,0.140873955773469,1.7002909510147,1.29005703523645,2.24097790961048,0.326291274974243,0.14107560955156,1.38581896447447,1.05104307964752,1.82722691342122
"5",-2.14646019464269,0.339723639484792,0.116897219667264,0.0600655671229477,0.227500723300688,-2.15997109390301,0.288354462704256,0.115328454685378,0.0655366441041984,0.202949855640614,0.152562447436334,0.151223831513371,1.16481519954647,0.866029538109532,1.56668380163597,0.0745037180144224,0.155034363834579,1.07734934911523,0.79503937671017,1.45990457081741,0.491064956773713,0.141047420921974,1.63405549213112,1.23938093844821,2.15441214926791,0.350246721273644,0.140507018174105,1.41941770594009,1.07772567654259,1.86944290907095
"6",-2.29595372307016,0.341701683255966,0.100665340614059,0.0515249551708868,0.196671899419142,-2.15078872307328,0.289396788992973,0.116392320252537,0.066006211384374,0.205240869452115,0.0480257847818514,0.152411974149355,1.04919770830972,0.778254502274519,1.41446766823081,0.0651922652692904,0.15554949322697,1.06736422172692,0.786875891315814,1.44783490560072,0.37720829016101,0.14206339819885,1.4582080081222,1.10380580342919,1.92639918031388,0.342701444120061,0.140967489280666,1.40874810910406,1.06865961307392,1.85706581461969
"7",-2.51424559338337,0.34564245012292,0.080923938739228,0.0411017411091454,0.15932862414953,-2.13109421589854,0.289217262511908,0.118707331312643,0.0673427485265625,0.209249411639494,0.110065633311746,0.15210467328131,1.11635133788983,0.828565384316795,1.50409410433676,-0.0540258454444481,0.156626940192871,0.947407620014355,0.696968789038218,1.2878355710876,0.384320961516049,0.142242226921483,1.46861673549827,1.11129521646443,1.94083001873035,0.251517843283295,0.141745272407666,1.28597584589052,0.974040017323616,1.69780896760055
"8",-2.20247062068119,0.340884293754381,0.110529743678804,0.0566647000365386,0.215598498356553,-2.36409810014201,0.294743221217379,0.0940340714509075,0.0527709297014213,0.167562077144838,0.122401795433672,0.151934519388175,1.13020812302531,0.839129811687508,1.5222560127897,0.0278225179246098,0.155868115681958,1.02821317881725,0.757539961289863,1.39559943384813,0.460624920409567,0.141637701353501,1.58506421453307,1.20083245136153,2.09223906411313,0.279366962741913,0.141498588965712,1.32229248692599,1.00203178966213,1.74491212656086
"9",-2.24811003393576,0.341506061824534,0.105598613879655,0.0540707494411516,0.206231046703741,-2.05746716187627,0.287874414318283,0.127777199339921,0.0726791294088562,0.224645132707994,0.0892246211765113,0.152356432746809,1.09332621296695,0.811075619429288,1.47379871780855,0.0374481535364212,0.156034425695229,1.03815817085669,0.764617690673497,1.40955722168445,0.414692850249948,0.142022187703566,1.51390567352385,1.14605930022514,1.99981832343008,0.338612922042782,0.141220902956252,1.40300016965422,1.06377079794452,1.85040751245781
"10",-2.20151820101346,0.340669997885866,0.110635064527416,0.0567425223040565,0.215713313507575,-2.55025097902916,0.299309183905082,0.0780620715994197,0.0434173139069103,0.140351543521513,0.108934227634006,0.151731727871545,1.11508900588724,0.828233666083714,1.50129551836513,0.0882702537161481,0.155377630596714,1.09228327575756,0.805517861445002,1.48113755337396,0.448056175731926,0.141489462636814,1.56526662318202,1.18617854010579,2.06550659855061,0.307230014548104,0.141269069820456,1.35965367223235,1.03080766701989,1.79340741009373
"11",-2.69395031556029,0.350296124255669,0.0676133171847788,0.0340293898941195,0.134341540502303,-2.70652605304002,0.305989121037001,0.0667683540110784,0.0366528265708063,0.121628084773671,0.188472534889139,0.151530355601357,1.20740392104867,0.897154705325393,1.62494185218029,0.0800920161267798,0.155573158326539,1.08338675214134,0.798650880554388,1.46963696315041,0.424216129823199,0.142087471038335,1.52839188915821,1.15687764027223,2.01921247807583,0.284102637289598,0.14161652365024,1.32856928450559,1.00655564572703,1.75360036101807
